Highlight, Title
"The resource lifecycle management and multi-tenant bin packing necessary to achieve high utilization are key technical enablers of serverless computing.", "Berkeley view of Serverless Computing"
"By allowing users to bring their own libraries, serverless computing can support a much broader range of applications than PaaS services which are tied closely to particular use cases.", "Berkeley view of Serverless Computing"
"cloud functions (i.e., FaaS) popularized the serverless paradigm. However, it is worth acknowledging that they owe their success in part to BaaS oﬀerings that have existed since the beginning of public clouds, services like AWS S3. In our view, these services are domain-speciﬁc, highly optimized implementations of serverless computing. Cloud functions represent serverless computing in a more general form.", "Berkeley view of Serverless Computing"
"Unlike serverless computing, Kubernetes is a technology that simpliﬁes management of serverful computing.", "Berkeley view of Serverless Computing"
"Serverless computing, on the other hand, introduces a paradigm shift that allows fully oﬄoading operational responsibilities to the provider, and makes possible ﬁne-grained multi-tenant multiplexing.", "Berkeley view of Serverless Computing"
"One key diﬀerence between hosted Kubernetes services and serverless computing is the billing model. The former charges per reserved resources, whereas the latter per function execution duration.", "Berkeley view of Serverless Computing"
"the short run time, small memory footprint, and stateless nature improve statistical multiplexing by making it easier for cloud providers to ﬁnd unused resources on which to run these tasks.", "Berkeley view of Serverless Computing"
"If ARM or RISC-V oﬀer better cost-performance than x86, serverless computing makes it easier to change instruction sets.", "Berkeley view of Serverless Computing"
"Serverless users may save money since the functions are executed only when events occur, and ﬁne-grained accounting (today typically 100 milliseconds) means they pay only for what they use versus for what they reserve.", "Berkeley view of Serverless Computing"
"ExCamera parallelizes the “slow” parts of the encoding, and performs the “fast” parts serially. ExCamera exposes the internal state of the video encoder and decoder, allowing encoding and decoding tasks to be executed using purely functional semantics. In particular, each task takes the internal state along with video frames as input, and emits the modiﬁed internal state as output.", "Berkeley view of Serverless Computing"
"cloud functions, the general purpose serverless computing building block.", "Berkeley view of Serverless Computing"
"The stateless nature of serverless platforms makes it diﬃcult to support applications that have ﬁne-grained state sharing needs. This is mostly due to the limitations of existing storage services oﬀered by cloud providers.", "Berkeley view of Serverless Computing"
"Object storage services such as AWS S3, Azure Blob Storage, and Google Cloud Storage are highly scalable and provide inexpensive long-term object storage, but exhibit high access costs and high access latencies.", "Berkeley view of Serverless Computing"
"Sustaining 100K IOPS costs $30/min", "Berkeley view of Serverless Computing"
"Key-value databases, such as AWS DynamoDB, Google Cloud Datastore, or Azure Cosmos DB provide high IOPS, but are expensive and can take a long time to scale up.", "Berkeley view of Serverless Computing"
"while cloud providers oﬀer in-memory storage instances based on popular open source projects such as Memcached or Redis, they are not fault tolerant and do not autoscale as do serverless computing platforms.", "Berkeley view of Serverless Computing"
"To expand support to stateful applications, serverless frameworks need to provide a way for tasks to coordinate. For instance, if task A uses task B’s output there must be a way for A to know when its input is available, even if A and B reside on diﬀerent nodes. Many protocols aiming to ensure data consistency also require similar coordination.", "Berkeley view of Serverless Computing"
"Broadcast, aggregation, and shuﬄe are some of the most common communication primitives in distributed systems. These operations are commonly employed by applications such as machine learning training and big data analytics.", "Berkeley view of Serverless Computing"
"Note the signiﬁcantly lower number of remote messages for the VM-based solutions. This is because VM instances oﬀer ample opportunities to share, aggregate, or combine data locally across tasks before sending it or after receiving it.", "Berkeley view of Serverless Computing"
"Since the application cannot control the location of the cloud functions, a serverless computing application may need to send two and four orders of magnitude more data than an equivalent VM-based solution.", "Berkeley view of Serverless Computing"
"There are three factors impacting this cold start latency: (1) the time it takes to start a cloud function; (2) the time it takes to initialize the software environment of the function, e.g., load Python libraries; and (3) application-speciﬁc initialization in user code.", "Berkeley view of Serverless Computing"
"Another obstacle to predictable performance is the variability in the hardware resources that results from giving the cloud provider ﬂexibility to choose the underlying server.", "Berkeley view of Serverless Computing"
"serverless computing, identifying research challenges in ﬁve areas: abstractions, systems, networking, security, and architecture.", "Berkeley view of Serverless Computing"
"One approach would be to enable developers to specify these resource requirements explicitly. However, this would make it harder for cloud providers to achieve high utilization through statistical multiplexing, as it puts more constraints on function scheduling.", "Berkeley view of Serverless Computing"
"Today’s cloud function platforms have no knowledge of the data dependencies between the cloud functions, let alone the amount of data these functions might exchange. This ignorance can lead to suboptimal placement that could result in ineﬃcient communication patterns", "Berkeley view of Serverless Computing"
"With serverful computing, if an application needs less memory than the aggregated memory of the allocated VM instances, that memory goes to waste. In contrast, with a shared in-memory service, any memory not used by one serverless application can be allocated to another.", "Berkeley view of Serverless Computing"
"To implement high-performance Serverless Durable Storage, one approach would be to leverage an SSD-based distributed store paired with a distributed in-memory cache.", "Berkeley view of Serverless Computing"
"Sharing state between functions often uses a producer-consumer design pattern, which requires consumers to know as soon as the data is available from producers. Similarly, one function might want to signal another when a condition becomes available, or multiple functions might want to coordinate, e.g., to implement data consistency mechanisms.", "Berkeley view of Serverless Computing"
"Such signaling systems would beneﬁt from microsecond-level latency, reliable delivery, and broadcast or group communication.", "Berkeley view of Serverless Computing"
"Let applications provide a computation graph, enabling the cloud provider to co-locate the cloud functions to minimize communication overhead the adversarial tenant needs to conﬁrm the cohabitation with the victim on the same physical host, instead of randomly attacking strangers.", "Berkeley view of Serverless Computing"
"The ephemerality of cloud functions may limit the ability of the attacker to identify concurrently-running victims.", "Berkeley view of Serverless Computing"
"For programs that use SIMD instructions, running on a recent Intel Skylake microprocessor with 512-bit wide SIMD instructions can be much faster than running on the older Intel Broadwell microprocessor with 128-bit wide SIMD instructions.", "Berkeley view of Serverless Computing"
"The beauty of serverless computing is all the system administration capability that is included in the price, including redundancy for availability, monitoring, logging, and scaling. Cloud providers report that customers see cost savings of 4x-10x when moving applications to serverless as organizations use serverless more and more, they will be able to predict their serverless computing costs based on history, similar to the way they do today for other utility services, such as electricity.", "Berkeley view of Serverless Computing"
"Not only do function invocation semantics and packaging diﬀer between cloud serverless computing providers, but many serverless applications also rely upon an ecosystem of proprietary BaaS oﬀerings that lacks standardization. Object storage, key-value databases, authentication, logging, and monitoring are prominent examples.", "Berkeley view of Serverless Computing"
"if the start-up latency of a cloud function is not good enough for a given application, one could use a similar strategy: pre-warm cloud functions by exercising them regularly to ensure that there are enough running at any given time to satisfy the incoming requests.", "Berkeley view of Serverless Computing"
"Users lose many of the beneﬁts of serverless computing when they build applications that combine highly-elastic cloud functions with databases, search indexes, or serverful application tiers that have only limited elasticity.", "Berkeley view of Serverless Computing"
